"layer","level","class","class_3","id","metric","value","plot_id","percentage_inside","escala_buffer"
1,"class",1,"cerrado antropico",NA,"ai",100,"LO_01_0000",122.215526757548,12.5
1,"class",1,"cerrado antropico",NA,"ca",0.06,"LO_01_0000",122.215526757548,12.5
1,"class",1,"cerrado antropico",NA,"cpland",37.5,"LO_01_0000",122.215526757548,12.5
1,"class",1,"cerrado antropico",NA,"ed",0,"LO_01_0000",122.215526757548,12.5
1,"class",1,"cerrado antropico",NA,"pland",100,"LO_01_0000",122.215526757548,12.5
1,"landscape",NA,NA,NA,"shdi",0,"LO_01_0000",122.215526757548,12.5
1,"landscape",NA,NA,NA,"ta",0.06,"LO_01_0000",122.215526757548,12.5
1,"class",1,"cerrado antropico",NA,"ai",100,"LO_01_0000",117.123208535636,25
1,"class",1,"cerrado antropico",NA,"ca",0.230000000008568,"LO_01_0000",117.123208535636,25
1,"class",1,"cerrado antropico",NA,"cpland",66.304347826087,"LO_01_0000",117.123208535636,25
1,"class",1,"cerrado antropico",NA,"ed",0,"LO_01_0000",117.123208535636,25
1,"class",1,"cerrado antropico",NA,"pland",100,"LO_01_0000",117.123208535636,25
1,"landscape",NA,NA,NA,"shdi",0,"LO_01_0000",117.123208535636,25
1,"landscape",NA,NA,NA,"ta",0.230000000008568,"LO_01_0000",117.123208535636,25
1,"class",1,"cerrado antropico",NA,"ai",99.6758508914101,"LO_01_0000",104.074155673114,50
1,"class",1,"cerrado antropico",NA,"ca",0.817500000015227,"LO_01_0000",104.074155673114,50
1,"class",1,"cerrado antropico",NA,"cpland",81.9571865443425,"LO_01_0000",104.074155673114,50
1,"class",1,"cerrado antropico",NA,"ed",0,"LO_01_0000",104.074155673114,50
1,"class",1,"cerrado antropico",NA,"pland",100,"LO_01_0000",104.074155673114,50
1,"landscape",NA,NA,NA,"shdi",0,"LO_01_0000",104.074155673114,50
1,"landscape",NA,NA,NA,"ta",0.817500000015227,"LO_01_0000",104.074155673114,50
1,"class",1,"cerrado antropico",NA,"ai",99.4991652754591,"LO_01_0000",73.2020060212039,100
1,"class",2,"uso humano",NA,"ai",97.1274685816876,"LO_01_0000",73.2020060212039,100
1,"class",1,"cerrado antropico",NA,"ca",1.56000000003321,"LO_01_0000",73.2020060212039,100
1,"class",2,"uso humano",NA,"ca",0.740000000015753,"LO_01_0000",73.2020060212039,100
1,"class",1,"cerrado antropico",NA,"cpland",58.0434782608696,"LO_01_0000",73.2020060212039,100
1,"class",2,"uso humano",NA,"cpland",24.0217391304348,"LO_01_0000",73.2020060212039,100
1,"class",1,"cerrado antropico",NA,"ed",89.1304347820997,"LO_01_0000",73.2020060212039,100
1,"class",2,"uso humano",NA,"ed",89.1304347820997,"LO_01_0000",73.2020060212039,100
1,"class",1,"cerrado antropico",NA,"pland",67.8260869565217,"LO_01_0000",73.2020060212039,100
1,"class",2,"uso humano",NA,"pland",32.1739130434783,"LO_01_0000",73.2020060212039,100
1,"landscape",NA,NA,NA,"shdi",0.628173421844777,"LO_01_0000",73.2020060212039,100
1,"landscape",NA,NA,NA,"ta",2.30000000004896,"LO_01_0000",73.2020060212039,100
1,"class",1,"cerrado antropico",NA,"ai",100,"LO_01_0200",127.307839802169,12.5
1,"class",1,"cerrado antropico",NA,"ca",0.0625,"LO_01_0200",127.307839802169,12.5
1,"class",1,"cerrado antropico",NA,"cpland",36,"LO_01_0200",127.307839802169,12.5
1,"class",1,"cerrado antropico",NA,"ed",0,"LO_01_0200",127.307839802169,12.5
1,"class",1,"cerrado antropico",NA,"pland",100,"LO_01_0200",127.307839802169,12.5
1,"landscape",NA,NA,NA,"shdi",0,"LO_01_0200",127.307839802169,12.5
1,"landscape",NA,NA,NA,"ta",0.0625,"LO_01_0200",127.307839802169,12.5
1,"class",1,"cerrado antropico",NA,"ai",100,"LO_01_0200",117.12321355239,25
1,"class",1,"cerrado antropico",NA,"ca",0.230000000008568,"LO_01_0200",117.12321355239,25
1,"class",1,"cerrado antropico",NA,"cpland",67.3913043478261,"LO_01_0200",117.12321355239,25
1,"class",1,"cerrado antropico",NA,"ed",0,"LO_01_0200",117.12321355239,25
1,"class",1,"cerrado antropico",NA,"pland",100,"LO_01_0200",117.12321355239,25
1,"landscape",NA,NA,NA,"shdi",0,"LO_01_0200",117.12321355239,25
1,"landscape",NA,NA,NA,"ta",0.230000000008568,"LO_01_0200",117.12321355239,25
1,"class",1,"cerrado antropico",NA,"ai",99.6055226824458,"LO_01_0200",85.9327941032886,50
1,"class",1,"cerrado antropico",NA,"ca",0.675000000016764,"LO_01_0200",85.9327941032886,50
1,"class",1,"cerrado antropico",NA,"cpland",79.2592592592593,"LO_01_0200",85.9327941032886,50
1,"class",1,"cerrado antropico",NA,"ed",0,"LO_01_0200",85.9327941032886,50
1,"class",1,"cerrado antropico",NA,"pland",100,"LO_01_0200",85.9327941032886,50
1,"landscape",NA,NA,NA,"shdi",0,"LO_01_0200",85.9327941032886,50
1,"landscape",NA,NA,NA,"ta",0.675000000016764,"LO_01_0200",85.9327941032886,50
1,"class",1,"cerrado antropico",NA,"ai",98.5130111524164,"LO_01_0200",68.1096959222156,100
1,"class",2,"uso humano",NA,"ai",96.9258589511754,"LO_01_0200",68.1096959222156,100
1,"class",1,"cerrado antropico",NA,"ca",1.40500000004187,"LO_01_0200",68.1096959222156,100
1,"class",2,"uso humano",NA,"ca",0.735000000021905,"LO_01_0200",68.1096959222156,100
1,"class",1,"cerrado antropico",NA,"cpland",54.088785046729,"LO_01_0200",68.1096959222156,100
1,"class",2,"uso humano",NA,"cpland",25.9345794392523,"LO_01_0200",68.1096959222156,100
1,"class",1,"cerrado antropico",NA,"ed",119.158878503489,"LO_01_0200",68.1096959222156,100
1,"class",2,"uso humano",NA,"ed",119.158878503489,"LO_01_0200",68.1096959222156,100
1,"class",1,"cerrado antropico",NA,"pland",65.6542056074766,"LO_01_0200",68.1096959222156,100
1,"class",2,"uso humano",NA,"pland",34.3457943925234,"LO_01_0200",68.1096959222156,100
1,"landscape",NA,NA,NA,"shdi",0.64330251254615,"LO_01_0200",68.1096959222156,100
1,"landscape",NA,NA,NA,"ta",2.14000000006378,"LO_01_0200",68.1096959222156,100
1,"class",2,"uso humano",NA,"ai",100,"LO_01_0400",127.307852553084,12.5
1,"class",2,"uso humano",NA,"ca",0.0625,"LO_01_0400",127.307852553084,12.5
1,"class",2,"uso humano",NA,"cpland",36,"LO_01_0400",127.307852553084,12.5
1,"class",2,"uso humano",NA,"ed",0,"LO_01_0400",127.307852553084,12.5
1,"class",2,"uso humano",NA,"pland",100,"LO_01_0400",127.307852553084,12.5
1,"landscape",NA,NA,NA,"shdi",0,"LO_01_0400",127.307852553084,12.5
1,"landscape",NA,NA,NA,"ta",0.0625,"LO_01_0400",127.307852553084,12.5
1,"class",1,"cerrado antropico",NA,"ai",100,"LO_01_0400",94.2078168817057,25
1,"class",2,"uso humano",NA,"ai",99.1596638655462,"LO_01_0400",94.2078168817057,25
1,"class",1,"cerrado antropico",NA,"ca",0.0150000000006985,"LO_01_0400",94.2078168817057,25
1,"class",2,"uso humano",NA,"ca",0.170000000007916,"LO_01_0400",94.2078168817057,25
1,"class",1,"cerrado antropico",NA,"cpland",0,"LO_01_0400",94.2078168817057,25
1,"class",2,"uso humano",NA,"cpland",55.4054054054054,"LO_01_0400",94.2078168817057,25
1,"class",1,"cerrado antropico",NA,"ed",135.135135132618,"LO_01_0400",94.2078168817057,25
1,"class",2,"uso humano",NA,"ed",135.135135132618,"LO_01_0400",94.2078168817057,25
1,"class",1,"cerrado antropico",NA,"pland",8.10810810810811,"LO_01_0400",94.2078168817057,25
1,"class",2,"uso humano",NA,"pland",91.8918918918919,"LO_01_0400",94.2078168817057,25
1,"landscape",NA,NA,NA,"shdi",0.281401839591419,"LO_01_0400",94.2078168817057,25
1,"landscape",NA,NA,NA,"ta",0.185000000008615,"LO_01_0400",94.2078168817057,25
1,"class",1,"cerrado antropico",NA,"ai",93.1034482758621,"LO_01_0400",72.2472102207552,50
1,"class",2,"uso humano",NA,"ai",98.9664082687339,"LO_01_0400",72.2472102207552,50
1,"class",1,"cerrado antropico",NA,"ca",0.0475000000013612,"LO_01_0400",72.2472102207552,50
1,"class",2,"uso humano",NA,"ca",0.520000000014901,"LO_01_0400",72.2472102207552,50
1,"class",1,"cerrado antropico",NA,"cpland",0.881057268722467,"LO_01_0400",72.2472102207552,50
1,"class",2,"uso humano",NA,"cpland",69.6035242290749,"LO_01_0400",72.2472102207552,50
1,"class",1,"cerrado antropico",NA,"ed",96.9162995587139,"LO_01_0400",72.2472102207552,50
1,"class",2,"uso humano",NA,"ed",96.9162995587139,"LO_01_0400",72.2472102207552,50
1,"class",1,"cerrado antropico",NA,"pland",8.37004405286344,"LO_01_0400",72.2472102207552,50
1,"class",2,"uso humano",NA,"pland",91.6299559471366,"LO_01_0400",72.2472102207552,50
1,"landscape",NA,NA,NA,"shdi",0.287715386723532,"LO_01_0400",72.2472102207552,50
1,"landscape",NA,NA,NA,"ta",0.567500000016262,"LO_01_0400",72.2472102207552,50
1,"class",1,"cerrado antropico",NA,"ai",86.1471861471861,"LO_01_0400",60.9486375780275,100
1,"class",2,"uso humano",NA,"ai",98.8590057049715,"LO_01_0400",60.9486375780275,100
1,"class",1,"cerrado antropico",NA,"ca",0.317500000010285,"LO_01_0400",60.9486375780275,100
1,"class",2,"uso humano",NA,"ca",1.59750000005175,"LO_01_0400",60.9486375780275,100
1,"class",1,"cerrado antropico",NA,"cpland",6.00522193211488,"LO_01_0400",60.9486375780275,100
1,"class",2,"uso humano",NA,"cpland",70.6266318537859,"LO_01_0400",60.9486375780275,100
1,"class",1,"cerrado antropico",NA,"ed",148.825065272544,"LO_01_0400",60.9486375780275,100
1,"class",2,"uso humano",NA,"ed",148.825065272544,"LO_01_0400",60.9486375780275,100
1,"class",1,"cerrado antropico",NA,"pland",16.579634464752,"LO_01_0400",60.9486375780275,100
1,"class",2,"uso humano",NA,"pland",83.420365535248,"LO_01_0400",60.9486375780275,100
1,"landscape",NA,NA,NA,"shdi",0.449157748947529,"LO_01_0400",60.9486375780275,100
1,"landscape",NA,NA,NA,"ta",1.91500000006203,"LO_01_0400",60.9486375780275,100
1,"class",1,"cerrado antropico",NA,"ai",100,"LO_01_0600",127.307878264857,12.5
1,"class",2,"uso humano",NA,"ai",93.3333333333333,"LO_01_0600",127.307878264857,12.5
1,"class",1,"cerrado antropico",NA,"ca",0.035,"LO_01_0600",127.307878264857,12.5
1,"class",2,"uso humano",NA,"ca",0.0275,"LO_01_0600",127.307878264857,12.5
1,"class",1,"cerrado antropico",NA,"cpland",12,"LO_01_0600",127.307878264857,12.5
1,"class",2,"uso humano",NA,"cpland",0,"LO_01_0600",127.307878264857,12.5
1,"class",1,"cerrado antropico",NA,"ed",480,"LO_01_0600",127.307878264857,12.5
1,"class",2,"uso humano",NA,"ed",480,"LO_01_0600",127.307878264857,12.5
1,"class",1,"cerrado antropico",NA,"pland",56,"LO_01_0600",127.307878264857,12.5
1,"class",2,"uso humano",NA,"pland",44,"LO_01_0600",127.307878264857,12.5
1,"landscape",NA,NA,NA,"shdi",0.685929800252373,"LO_01_0600",127.307878264857,12.5
1,"landscape",NA,NA,NA,"ta",0.0625,"LO_01_0600",127.307878264857,12.5
1,"class",1,"cerrado antropico",NA,"ai",97.0149253731343,"LO_01_0600",117.123243973816,25
1,"class",2,"uso humano",NA,"ai",96.6292134831461,"LO_01_0600",117.123243973816,25
1,"class",1,"cerrado antropico",NA,"ca",0.100000000003725,"LO_01_0600",117.123243973816,25
1,"class",2,"uso humano",NA,"ca",0.130000000004843,"LO_01_0600",117.123243973816,25
1,"class",1,"cerrado antropico",NA,"cpland",20.6521739130435,"LO_01_0600",117.123243973816,25
1,"class",2,"uso humano",NA,"cpland",29.3478260869565,"LO_01_0600",117.123243973816,25
1,"class",1,"cerrado antropico",NA,"ed",282.608695648934,"LO_01_0600",117.123243973816,25
1,"class",2,"uso humano",NA,"ed",282.608695648934,"LO_01_0600",117.123243973816,25
1,"class",1,"cerrado antropico",NA,"pland",43.4782608695652,"LO_01_0600",117.123243973816,25
1,"class",2,"uso humano",NA,"pland",56.5217391304348,"LO_01_0600",117.123243973816,25
1,"landscape",NA,NA,NA,"shdi",0.684616277801305,"LO_01_0600",117.123243973816,25
1,"landscape",NA,NA,NA,"ta",0.230000000008568,"LO_01_0600",117.123243973816,25
1,"class",1,"cerrado antropico",NA,"ai",94.8863636363636,"LO_01_0600",93.571280929621,50
1,"class",2,"uso humano",NA,"ai",97.2527472527473,"LO_01_0600",93.571280929621,50
1,"class",1,"cerrado antropico",NA,"ca",0.245000000005369,"LO_01_0600",93.571280929621,50
1,"class",2,"uso humano",NA,"ca",0.490000000010738,"LO_01_0600",93.571280929621,50
1,"class",1,"cerrado antropico",NA,"cpland",18.7074829931973,"LO_01_0600",93.571280929621,50
1,"class",2,"uso humano",NA,"cpland",48.6394557823129,"LO_01_0600",93.571280929621,50
1,"class",1,"cerrado antropico",NA,"ed",204.08163265172,"LO_01_0600",93.571280929621,50
1,"class",2,"uso humano",NA,"ed",204.08163265172,"LO_01_0600",93.571280929621,50
1,"class",1,"cerrado antropico",NA,"pland",33.3333333333333,"LO_01_0600",93.571280929621,50
1,"class",2,"uso humano",NA,"pland",66.6666666666667,"LO_01_0600",93.571280929621,50
1,"landscape",NA,NA,NA,"shdi",0.636514168294813,"LO_01_0600",93.571280929621,50
1,"landscape",NA,NA,NA,"ta",0.735000000016106,"LO_01_0600",93.571280929621,50
1,"class",1,"cerrado antropico",NA,"ai",93.4959349593496,"LO_01_0600",71.371972922837,100
1,"class",2,"uso humano",NA,"ai",98.841961852861,"LO_01_0600",71.371972922837,100
1,"class",1,"cerrado antropico",NA,"ca",0.337500000009313,"LO_01_0600",71.371972922837,100
1,"class",2,"uso humano",NA,"ca",1.90500000005257,"LO_01_0600",71.371972922837,100
1,"class",1,"cerrado antropico",NA,"cpland",7.80379041248606,"LO_01_0600",71.371972922837,100
1,"class",2,"uso humano",NA,"cpland",72.7982162764771,"LO_01_0600",71.371972922837,100
1,"class",1,"cerrado antropico",NA,"ed",104.793756966747,"LO_01_0600",71.371972922837,100
1,"class",2,"uso humano",NA,"ed",104.793756966747,"LO_01_0600",71.371972922837,100
1,"class",1,"cerrado antropico",NA,"pland",15.0501672240803,"LO_01_0600",71.371972922837,100
1,"class",2,"uso humano",NA,"pland",84.9498327759197,"LO_01_0600",71.371972922837,100
1,"landscape",NA,NA,NA,"shdi",0.423578302947968,"LO_01_0600",71.371972922837,100
1,"landscape",NA,NA,NA,"ta",2.24250000006188,"LO_01_0600",71.371972922837,100
1,"class",2,"uso humano",NA,"ai",100,"LO_03_0000",71.2923735307684,12.5
1,"class",2,"uso humano",NA,"ca",0.035,"LO_03_0000",71.2923735307684,12.5
1,"class",2,"uso humano",NA,"cpland",21.4285714285714,"LO_03_0000",71.2923735307684,12.5
1,"class",2,"uso humano",NA,"ed",0,"LO_03_0000",71.2923735307684,12.5
1,"class",2,"uso humano",NA,"pland",100,"LO_03_0000",71.2923735307684,12.5
1,"landscape",NA,NA,NA,"shdi",0,"LO_03_0000",71.2923735307684,12.5
1,"landscape",NA,NA,NA,"ta",0.035,"LO_03_0000",71.2923735307684,12.5
1,"class",2,"uso humano",NA,"ai",98.876404494382,"LO_03_0000",66.2000705426084,25
1,"class",2,"uso humano",NA,"ca",0.130000000004843,"LO_03_0000",66.2000705426084,25
1,"class",2,"uso humano",NA,"cpland",53.8461538461538,"LO_03_0000",66.2000705426084,25
1,"class",2,"uso humano",NA,"ed",0,"LO_03_0000",66.2000705426084,25
1,"class",2,"uso humano",NA,"pland",100,"LO_03_0000",66.2000705426084,25
1,"landscape",NA,NA,NA,"shdi",0,"LO_03_0000",66.2000705426084,25
1,"landscape",NA,NA,NA,"ta",0.130000000004843,"LO_03_0000",66.2000705426084,25
1,"class",2,"uso humano",NA,"ai",98.8235294117647,"LO_03_0000",58.5616034077836,50
1,"class",2,"uso humano",NA,"ca",0.460000000008568,"LO_03_0000",58.5616034077836,50
1,"class",2,"uso humano",NA,"cpland",73.9130434782609,"LO_03_0000",58.5616034077836,50
1,"class",2,"uso humano",NA,"ed",0,"LO_03_0000",58.5616034077836,50
1,"class",2,"uso humano",NA,"pland",100,"LO_03_0000",58.5616034077836,50
1,"landscape",NA,NA,NA,"shdi",0,"LO_03_0000",58.5616034077836,50
1,"landscape",NA,NA,NA,"ta",0.460000000008568,"LO_03_0000",58.5616034077836,50
1,"class",2,"uso humano",NA,"ai",99.160945842868,"LO_03_0000",54.2649635004038,100
1,"class",2,"uso humano",NA,"ca",1.70500000004764,"LO_03_0000",54.2649635004038,100
1,"class",2,"uso humano",NA,"cpland",85.9237536656891,"LO_03_0000",54.2649635004038,100
1,"class",2,"uso humano",NA,"ed",0,"LO_03_0000",54.2649635004038,100
1,"class",2,"uso humano",NA,"pland",100,"LO_03_0000",54.2649635004038,100
1,"landscape",NA,NA,NA,"shdi",0,"LO_03_0000",54.2649635004038,100
1,"landscape",NA,NA,NA,"ta",1.70500000004764,"LO_03_0000",54.2649635004038,100
1,"class",2,"uso humano",NA,"ai",100,"LO_03_0200",127.307817038785,12.5
1,"class",2,"uso humano",NA,"ca",0.0625,"LO_03_0200",127.307817038785,12.5
1,"class",2,"uso humano",NA,"cpland",36,"LO_03_0200",127.307817038785,12.5
1,"class",2,"uso humano",NA,"ed",0,"LO_03_0200",127.307817038785,12.5
1,"class",2,"uso humano",NA,"pland",100,"LO_03_0200",127.307817038785,12.5
1,"landscape",NA,NA,NA,"shdi",0,"LO_03_0200",127.307817038785,12.5
1,"landscape",NA,NA,NA,"ta",0.0625,"LO_03_0200",127.307817038785,12.5
1,"class",2,"uso humano",NA,"ai",100,"LO_03_0200",117.123212301302,25
1,"class",2,"uso humano",NA,"ca",0.230000000008568,"LO_03_0200",117.123212301302,25
1,"class",2,"uso humano",NA,"cpland",67.3913043478261,"LO_03_0200",117.123212301302,25
1,"class",2,"uso humano",NA,"ed",0,"LO_03_0200",117.123212301302,25
1,"class",2,"uso humano",NA,"pland",100,"LO_03_0200",117.123212301302,25
1,"landscape",NA,NA,NA,"shdi",0,"LO_03_0200",117.123212301302,25
1,"landscape",NA,NA,NA,"ta",0.230000000008568,"LO_03_0200",117.123212301302,25
1,"class",2,"uso humano",NA,"ai",99.6932515337423,"LO_03_0200",109.803013715381,50
1,"class",2,"uso humano",NA,"ca",0.862500000016065,"LO_03_0200",109.803013715381,50
1,"class",2,"uso humano",NA,"cpland",83.1884057971015,"LO_03_0200",109.803013715381,50
1,"class",2,"uso humano",NA,"ed",0,"LO_03_0200",109.803013715381,50
1,"class",2,"uso humano",NA,"pland",100,"LO_03_0200",109.803013715381,50
1,"landscape",NA,NA,NA,"shdi",0,"LO_03_0200",109.803013715381,50
1,"landscape",NA,NA,NA,"ta",0.862500000016065,"LO_03_0200",109.803013715381,50
1,"class",2,"uso humano",NA,"ai",99.7273081417998,"LO_03_0200",105.028970793631,100
1,"class",2,"uso humano",NA,"ca",3.3000000000922,"LO_03_0200",105.028970793631,100
1,"class",2,"uso humano",NA,"cpland",91.2878787878788,"LO_03_0200",105.028970793631,100
1,"class",2,"uso humano",NA,"ed",0,"LO_03_0200",105.028970793631,100
1,"class",2,"uso humano",NA,"pland",100,"LO_03_0200",105.028970793631,100
1,"landscape",NA,NA,NA,"shdi",0,"LO_03_0200",105.028970793631,100
1,"landscape",NA,NA,NA,"ta",3.3000000000922,"LO_03_0200",105.028970793631,100
1,"class",2,"uso humano",NA,"ai",100,"LO_03_0400",127.307866893351,12.5
1,"class",2,"uso humano",NA,"ca",0.0625,"LO_03_0400",127.307866893351,12.5
1,"class",2,"uso humano",NA,"cpland",36,"LO_03_0400",127.307866893351,12.5
1,"class",2,"uso humano",NA,"ed",0,"LO_03_0400",127.307866893351,12.5
